location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,object_type,have_loggia,parking_type,house_material_type,living_meters,kitchen_meters,ceiling_height,street,house_number,residential_complex
Пересвет,2,6,1,32.2,4025689,2025,Новостройка,-1,-1,-1,"11,3 м²","10,7 м²",3 м,Магистральная ,86Б,Sreda
Пересвет,8,8,1,31.8,4181700,2026,Новостройка,-1,Подземная,-1,"11,2 м²","9,3 м²","2,72 м",0,0,Дом на Красной ЖК
Пересвет,15,19,1,32.1,4193445,2025,Новостройка,-1,-1,-1,"11,5 м²","8,2 м²","2,7 м",Кузнецкая ,43В,ПЯТНИЦА
Пересвет,3,5,1,33.5,4200000,1996,Вторичка,1 лоджия,-1,-1,"17,2 м²",8 м²,"2,5 м", Октябрьская,57к2,0
Пересвет,13,16,1,32.4,4250000,2021,Вторичка,1 балкон,Наземная,-1,-1,"8,4 м²",-1,Пролетарская ,29,Кузнецкий
Пересвет,3,5,1,31.2,4300000,1963,Вторичка,1 балкон,-1,-1,18 м²,6 м²,"2,7 м",0,0,0
Пересвет,2,9,1,38.1,4300000,2024,Вторичка,1 балкон,-1,-1,11 м²,"16,3 м²","2,8 м",0,0,Первый Ленинский Квартал
Пересвет,2,16,1,47.14,4336880,2023,Новостройка,-1,-1,-1,-1,-1,"2,74 м", Измайлова,41Б,СИТИ КВАРТАЛ на Измайлова
Пересвет,3,4,1,40.18,4309305,2024,Новостройка,1 балкон,-1,-1,"16,3 м²",12 м²,"2,7 м",Тбилисская ,5,Olivia
Пересвет,3,4,1,32.0,4750000,2025,Новостройка,-1,-1,Блочный,"13,6 м²","5,9 м²","2,76 м", Бульварная,0,Ритмы
Пересвет,2,24,1,51.3,4819500,2019,Новостройка,-1,Подземная,Монолитный,"26,3 м²","15,6 м²","2,75 м",Московский проспект,78,Ярославль Сити
Пересвет,2,16,1,31.44,4810000,2026,Новостройка,1 лоджия,-1,Монолитно-кирпичный,"10,1 м²","9,5 м²","2,74 м", Береговая,2/8,Прима
Пересвет,14,17,1,39.8,4850000,2023,Вторичка,1 лоджия,-1,-1,"13,5 м²",15 м²,-1, 65-летия Победы,24,0
Пересвет,13,17,1,41.7,4950000,2020,Вторичка,1 лоджия,Наземная,-1,"19,2 м²","11,1 м²","2,7 м", Мира,9В,0
Пересвет,4,8,1,36.0,5092224,2025,Новостройка,-1,Открытая,"Монолитно-кирпичный, кирпичный",16 м²,9 м²,"2,7 м",0,0,Знак ЖК
Пересвет,3,9,1,37.0,5089296,2025,Новостройка,-1,Открытая,Кирпичный,17 м²,10 м²,"2,7 м", 4-й Пятилетки,82,Зарядное
Пересвет,6,9,1,36.0,5113668,2025,Новостройка,-1,Открытая,Кирпичный,16 м²,9 м²,"2,7 м", 4-й Пятилетки,82,Зарядное
Пересвет,1,5,1,31.1,5150000,1988,Вторичка,1 лоджия,Наземная,-1,"15,5 м²",10 м²,"2,5 м", Кирова,5,0
Пересвет,9,10,1,32.8,5200000,1991,Вторичка,1 балкон,-1,-1,"17,2 м²","7,1 м²","2,6 м", Левченко,1,0
Пересвет,3,4,1,32.84,5200000,2024,Новостройка,-1,-1,-1,-1,-1,"2,7 м",0,0,Твоя Привилегия ЖК
Пересвет,7,26,1,42.4,5300000,2020,Вторичка,1 балкон,Наземная,-1,-1,12 м²,"2,6 м", Пушкина,87,Энгельс-Сити 3
Пересвет,22,23,1,35.3,5391016,2024,Новостройка,1 балкон,Открытая,"Монолитно-кирпичный, монолитный",11 м²,"17,8 м²","2,72 м",0,0,Парковый квартал
Пересвет,21,24,1,38.33,5412240,2025,Новостройка,1 лоджия,-1,Монолитно-кирпичный,"12,3 м²",-1,"2,6 м",Совхозная ,6,Мартовский
Пересвет,15,15,1,41.5,5402863,2025,Новостройка,-1,-1,-1,-1,-1,"2,74 м",Ключи мкр,0,Ключи-клаб ЖК
