location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,object_type,have_loggia,parking_type,house_material_type,living_meters,kitchen_meters,ceiling_height,street,house_number,residential_complex
Серпухов,6,6,1,20.7,2350000,1917,Вторичка,-1,Наземная,-1,18 м²,1 м²,3 м, Крюкова,4,0
Серпухов,1,9,1,33.0,4150000,1975,Вторичка,-1,-1,-1,18 м²,6 м²,"2,7 м", Ворошилова,144,0
Серпухов,4,4,1,14.0,1700000,-1,Вторичка,-1,-1,-1,-1,-1,-1, Красный Текстильщик,2,0
Серпухов,5,5,1,17.5,2500000,1968,Вторичка,-1,-1,-1,-1,-1,-1,Российская ,40,0
Серпухов,4,7,1,25.9,3000000,2009,Вторичка,-1,Наземная,-1,20 м²,5 м²,"3,5 м", Химиков,8,0
Серпухов,2,3,1,46.7,6599999,-1,Вторичка,-1,-1,-1,25 м²,6 м²,-1, 2-я Московская,6к3,0
Серпухов,3,5,1,29.0,3350000,1917,Вторичка,-1,Наземная,-1,25 м²,-1,3 м, Форсса,10,0
Серпухов,3,6,1,19.1,3600000,1917,Вторичка,-1,-1,-1,-1,-1,-1, Крюкова,4,0
Серпухов,1,2,1,27.1,1900000,1969,Вторичка,-1,Наземная,-1,18 м²,6 м²,"2,5 м",0,0,0
Серпухов,6,9,2,42.7,3990000,1980,Вторичка,1 лоджия,Наземная,-1,"29,7 м²","5,6 м²","2,7 м",Весенняя ,56,0
Серпухов,1,5,2,42.8,2999000,1990,Вторичка,1 балкон,Наземная,-1,"24,9 м²",6 м²,"2,5 м", Южная,3,0
Серпухов,3,4,-1,47.0,1980000,1964,Вторичка,1 балкон,Наземная,-1,-1,16 м²,"2,9 м",Художественный проезд,14,0
Серпухов,15,17,1,20.55,2600000,2025,Новостройка,1 лоджия,Наземная,-1,"13,4 м²",3 м²,-1, Ледовская,0,Солнечный
Серпухов,1,3,1,25.3,2500000,2015,Вторичка,1 лоджия,-1,-1,"14,1 м²","6,2 м²","2,8 м", Солнечный Град,1,0
Серпухов,2,3,1,36.0,2790000,-1,Вторичка,-1,-1,-1,-1,-1,-1,Русская ,32А,0
Серпухов,1,3,1,22.4,2600000,-1,Вторичка,1 лоджия,-1,-1,-1,-1,-1,Русская ,36,0
Серпухов,2,3,2,42.0,3200000,-1,Вторичка,-1,Наземная,-1,28 м²,6 м²,-1,0,0,0
Серпухов,2,4,1,41.4,2800000,1975,Вторичка,1 балкон,Наземная,-1,20 м²,7 м²,-1,0,0,0
Серпухов,2,2,1,31.3,2700000,1970,Вторичка,-1,Наземная,-1,-1,5 м²,-1, Садовая,1А,0
Серпухов,5,5,1,31.0,3090000,1984,Вторичка,1 балкон,Наземная,-1,15 м²,"7,3 м²",-1, Бригадная,105,0
Серпухов,1,2,1,32.1,2600000,1965,Вторичка,-1,Наземная,-1,-1,"6,1 м²","2,5 м", Новые Дома,10,0
Серпухов,2,5,2,47.5,2600000,-1,Вторичка,1 балкон,Наземная,-1,28 м²,6 м²,"2,4 м",0,0,0
Серпухов,2,3,1,27.0,2500000,-1,Вторичка,-1,-1,-1,19 м²,3 м²,"2,5 м", Красный Текстильщик,6/2,0
Серпухов,6,6,1,38.9,2800000,2010,Вторичка,1 лоджия,-1,-1,16 м²,10 м²,"2,8 м", Молодежная,1,0
Серпухов,2,5,1,29.0,3100000,1964,Вторичка,-1,-1,-1,19 м²,6 м²,"2,5 м",переулок 1-й Оборонный,6,0
Серпухов,1,2,3,141.9,3081000,Аукцион,Вторичка,-1,-1,-1,-1,-1,-1,Калужская ,62/8,0
Серпухов,8,10,3,64.0,7450000,1992,Вторичка,1 лоджия,Наземная,-1,-1,9 м²,"2,8 м",Звездная ,9,0
Серпухов,8,9,3,60.0,6600000,1975,Вторичка,1 лоджия,-1,-1,40 м²,9 м²,"2,6 м", Ворошилова,144,0
Серпухов,3,10,3,62.1,7300000,1992,Вторичка,1 балкон,-1,-1,45 м²,9 м²,"2,8 м",Звездная ,9,0
Серпухов,3,5,3,67.2,7999000,-1,Вторичка,3 лоджии,Наземная,-1,50 м²,10 м²,-1, Ивана Болотникова,30/19,0
Серпухов,7,24,3,77.6,12700000,2011,Вторичка / Апартаменты,1 балкон,-1,-1,-1,5 м²,-1,Борисовское шоссе,1,0
Серпухов,6,9,3,62.0,7350000,1986,Вторичка,1 лоджия,-1,-1,44 м²,8 м²,"2,65 м", Пушкина,46,0
Серпухов,5,10,3,63.0,7600000,1994,Вторичка,1 лоджия,-1,-1,-1,8 м²,-1,Новая ,26Б,0
Серпухов,1,5,3,57.9,5750000,1969,Вторичка,-1,-1,-1,-1,5 м²,-1,Центральная ,156,0
Серпухов,1,2,3,56.0,5490000,1956,Вторичка,-1,Наземная,-1,40 м²,6 м²,"2,8 м", Захаркина,32,0
Серпухов,7,10,3,65.0,8800000,-1,Вторичка,-1,-1,-1,-1,-1,-1,Весенняя ,66а,0
Серпухов,2,5,3,54.0,5400000,1966,Вторичка,-1,-1,-1,39 м²,6 м²,-1, Лермонтова,71,0
Серпухов,1,5,3,67.0,8300000,1973,Вторичка,1 лоджия,Наземная,-1,41 м²,9 м²,"2,5 м", Космонавтов,22,0
Серпухов,4,5,2,45.5,5380000,1971,Вторичка,1 балкон,Наземная,-1,"32,5 м²",6 м²,"2,6 м",Советская ,103,0
Серпухов,1,1,2,46.0,3650000,1957,Вторичка,-1,Наземная,-1,-1,6 м²,-1, Водников,14/17,0
Серпухов,7,9,2,42.9,4500000,1971,Вторичка,1 балкон,Наземная,-1,"27,4 м²","5,7 м²","2,5 м", Дзержинского,40,0
Серпухов,2,14,2,38.4,6700000,2013,Вторичка,2 лоджии,Наземная,-1,17 м²,11 м²,-1, Ворошилова,143бк2,по ул. Ворошилова
Серпухов,1,9,2,48.0,4200000,1981,Вторичка,-1,-1,-1,-1,11 м²,-1,проезд Мишина,14,0
Серпухов,2,2,2,71.3,6700000,-1,Вторичка,1 лоджия,-1,-1,28 м²,8 м²,-1,Советская ,16,0
Серпухов,2,5,2,47.0,4999999,1972,Вторичка,1 лоджия,-1,-1,33 м²,"7,5 м²","2,7 м", Ворошилова,165а,0
Серпухов,4,14,2,64.0,9200000,-1,Вторичка,1 лоджия,Наземная,-1,39 м²,"13,5 м²","2,7 м",Стадионная ,1к1,Жемчужина
Серпухов,1,2,2,40.0,3700000,1959,Вторичка,-1,Наземная,-1,27 м²,5 м²,"2,5 м",Октябрьская ,20,0
Серпухов,2,5,2,47.0,4050000,1971,Вторичка,1 балкон,-1,-1,34 м²,"6,5 м²","2,6 м",Подольская ,109,0
Серпухов,6,6,2,56.8,4950000,2004,Вторичка,-1,Наземная,-1,30 м²,10 м²,3 м, Карла Маркса,2,0
Серпухов,1,5,2,44.7,3900000,1968,Вторичка,-1,-1,-1,"30,7 м²","5,8 м²",-1,Центральная ,158,0
Серпухов,1,4,2,41.0,3499888,1962,Вторичка,-1,-1,-1,29 м²,6 м²,"2,7 м", Горького,16,0
Серпухов,4,5,2,45.9,3850000,1969,Вторичка,1 балкон,Наземная,-1,-1,6 м²,-1,Весенняя ,52,0
Серпухов,4,9,2,52.0,7300000,-1,Вторичка,-1,-1,-1,38 м²,9 м²,-1, Красный Текстильщик,12,0
Серпухов,5,5,2,53.5,4999999,1973,Вторичка,1 лоджия,-1,-1,"28,9 м²",9 м²,-1, Энгельса,31,0
Серпухов,1,5,2,46.0,4850000,-1,Вторичка,-1,Наземная,-1,26 м²,6 м²,"2,5 м",Осенняя ,35,0
Серпухов,2,10,1,59.0,11300000,2011,Вторичка,1 лоджия,Наземная,-1,"18,1 м²",20 м²,3 м,Советская ,70а,Советская 70А
Серпухов,2,9,1,38.4,4600000,1984,Вторичка,1 лоджия,Наземная,-1,15 м²,9 м²,-1,Комсомольская ,4,0
Серпухов,4,6,1,38.9,4000000,2009,Вторичка,-1,Наземная,-1,13 м²,"11,2 м²","2,8 м", Химиков,8,0
Серпухов,3,5,1,30.3,3500000,1972,Вторичка,1 балкон,Наземная,-1,18 м²,6 м²,"2,6 м",Западная ,38а,0
Дубна,5,5,1,33.0,3700000,-1,Вторичка,1 балкон,-1,-1,15 м²,6 м²,-1, Правды,31,0
Дубна,2,5,1,31.2,4900000,-1,Вторичка,-1,-1,-1,18 м²,7 м²,-1, Мичурина,23,0
Дубна,8,10,1,34.0,6000000,1970,Вторичка,1 лоджия,Наземная,-1,"18,2 м²","7,8 м²","2,6 м", Строителей,12,0
Дубна,5,9,1,50.0,9550000,2019,Вторичка,1 балкон,Наземная,-1,25 м²,10 м²,"2,7 м", Программистов,15,на ул. Программистов
Дубна,1,5,1,30.0,4200000,1964,Вторичка,-1,Наземная,-1,16 м²,6 м²,"2,4 м", Правды,23,0
Дубна,4,4,1,31.3,5750000,-1,Вторичка,1 балкон,Наземная,-1,18 м²,6 м²,"2,7 м", Курчатова,26,0
Дубна,5,9,1,20.0,3700000,-1,Вторичка,-1,Наземная,-1,9 м²,5 м²,"2,4 м",Хлебозаводской переулок,24,0
Дубна,3,4,1,45.5,7100000,1956,Вторичка,1 балкон,Наземная,-1,18 м²,10 м²,-1,Октябрьская ,15,0
Дубна,4,9,1,32.2,5210000,1978,Вторичка,-1,-1,-1,15 м²,6 м²,"2,6 м", Энтузиастов,11к4,0
Дубна,9,14,1,39.0,8100000,-1,Вторичка,1 лоджия,Наземная,-1,17 м²,8 м²,-1, Мичурина,3,0
Дубна,5,9,1,29.0,5700000,-1,Вторичка,1 балкон,Наземная,-1,14 м²,8 м²,"2,5 м",9 Мая ,8,0
Дубна,1,9,1,20.3,3200000,1977,Вторичка,-1,Наземная,-1,"11,4 м²",4 м²,"2,4 м",Хлебозаводской переулок,24,0
Дубна,5,9,1,29.0,4500000,-1,Вторичка,-1,Наземная,-1,18 м²,5 м²,"2,4 м",Хлебозаводской переулок,24,0
Дубна,3,9,1,38.8,6500000,-1,Вторичка,1 лоджия,-1,-1,20 м²,8 м²,-1, Понтекорво,9,0
Дубна,6,6,1,31.6,5800000,2003,Вторичка,-1,Наземная,-1,18 м²,"6,5 м²","2,5 м",Первомайский проезд,5,0
Дубна,3,4,1,32.3,5900000,1963,Вторичка,-1,Наземная,-1,18 м²,6 м²,-1, В.И. Векслера,20,0
Дубна,4,9,1,38.3,6100000,-1,Вторичка,1 лоджия,Наземная,-1,"19,3 м²","7,5 м²",-1, Энтузиастов,11А,0
Дубна,2,9,1,37.2,6200000,-1,Вторичка,1 лоджия,Наземная,-1,"20,7 м²","7,9 м²",-1, Энтузиастов,11к3,0
Дубна,7,14,2,75.4,10103600,2025,Новостройка,-1,-1,-1,-1,-1,-1,0,0,Феникс
Дубна,8,9,2,59.0,9900000,-1,Вторичка,2 лоджии,Наземная,-1,-1,9 м²,-1, Понтекорво,9,0
Дубна,1,2,2,47.7,5500000,1952,Вторичка,-1,Наземная,-1,33 м²,"4,1 м²",3 м, Курчатова,7,0
Дубна,2,9,2,69.3,9979200,2024,Новостройка,-1,-1,-1,-1,-1,-1, Программистов,11,по ул. Макаренко
Дубна,18,18,2,70.3,16500000,2007,Вторичка,2 лоджии,Многоуровневая,-1,-1,12 м²,"2,7 м", Понтекорво,6,0
Дубна,2,14,2,50.7,7000000,1973,Вторичка,1 лоджия,Наземная,-1,32 м²,8 м²,"2,7 м", В.И. Векслера,11,0
Дубна,1,9,2,75.1,10664200,2024,Новостройка,-1,-1,-1,-1,-1,-1, Программистов,11,по ул. Макаренко
Дубна,3,9,2,51.0,8700000,-1,Вторичка,1 лоджия,-1,-1,"28,6 м²","7,7 м²",-1, Энтузиастов,11к6,0
Дубна,9,9,2,54.3,8200000,1995,Вторичка,1 лоджия,Наземная,-1,30 м²,"8,1 м²","2,7 м", Понтекорво,2,0
Дубна,1,9,2,67.7,9613400,2024,Новостройка,-1,-1,-1,-1,-1,-1, Программистов,11,по ул. Макаренко
Дубна,1,9,2,57.4,7800000,1976,Вторичка,1 лоджия,Наземная,-1,30 м²,9 м²,"2,5 м", Энтузиастов,11к6,0
Дубна,9,9,2,69.5,10147000,2024,Новостройка,-1,-1,-1,-1,-1,-1, Программистов,11,по ул. Макаренко
Дубна,9,12,2,69.3,12000000,-1,Вторичка,2 лоджии,-1,-1,"41,5 м²","9,3 м²","2,73 м",Тверская ,8,0
Дубна,2,2,2,59.3,9700000,1952,Вторичка,1 балкон,Наземная,-1,"31,2 м²","10,2 м²",3 м, Ленина,9,0
Дубна,1,9,3,86.8,10850000,2024,Новостройка,-1,-1,-1,-1,-1,-1, Программистов,11,по ул. Макаренко
Дубна,1,2,3,92.6,18800000,2009,Вторичка,-1,Наземная,-1,"56,5 м²","10,6 м²",-1, Флотская,2,0
Дубна,2,5,3,64.4,12700000,2004,Вторичка,1 лоджия,Наземная,-1,50 м²,"8,5 м²",-1,проспект Боголюбова,16,0
Дубна,2,14,3,94.0,11797000,2025,Новостройка,-1,-1,-1,-1,-1,-1,0,0,Феникс
Дубна,13,14,3,75.3,13200000,1982,Вторичка,1 лоджия,Наземная,-1,"48,8 м²","9,1 м²",-1, Понтекорво,17,0
Дубна,3,4,3,55.1,7600000,1956,Вторичка,1 балкон,Наземная,-1,37 м²,"4,5 м²",-1, Мира,17,0
Дубна,9,14,3,121.5,15248250,2025,Новостройка,-1,-1,-1,-1,-1,-1,0,0,Феникс
Дубна,2,5,3,73.7,15500000,1959,Вторичка,-1,Наземная,-1,"50,5 м²","7,8 м²",3 м,Центральная ,4,0
Дубна,3,9,3,56.4,7700000,-1,Вторичка,1 балкон,Наземная,-1,"37,7 м²","6,7 м²",-1, Энтузиастов,3а,0
Дубна,6,14,3,126.1,15825550,2025,Новостройка,-1,-1,-1,-1,-1,-1,0,0,Феникс
Дубна,9,9,3,60.6,10500000,-1,Вторичка,1 лоджия,-1,-1,"39,4 м²","7,9 м²","2,7 м", Попова,6,0
Дубна,2,2,3,81.0,13500000,1953,Вторичка,-1,Наземная,-1,52 м²,10 м²,3 м,Центральная ,4А,0
Дубна,10,14,3,93.4,13076000,2025,Новостройка,-1,-1,-1,-1,-1,-1,0,0,Феникс
Москва,3,10,3,105.8,115430498.0,2024,Новостройка,-1,-1,Монолитный,-1,-1,"4,6 м",0,3к8,Виктори Парк Резиденсез ЖК
Москва,2,10,3,115.0,101000000.0,2008,Вторичка,-1,Подземная,-1,-1,45 м²,3 м,Большая Грузинская ,69,Четыре Ветра
Москва,15,23,3,82.8,39578400.0,2026,Новостройка,-1,Подземная,Монолитно-кирпичный,"52,1 м²",10 м²,"3,25 м", Фридриха Энгельса,56С9,Дом 56
Москва,11,20,3,87.02,32910964.0,2024,Новостройка,-1,-1,-1,"39,1 м²","34,3 м²","2,85 м",0,0,Форст ЖК
Москва,4,20,3,103.7,40291971.0,2024,Новостройка,-1,-1,Монолитно-кирпичный,"35,2 м²","25,5 м²","3,2 м",Береговой проезд,2,Береговой-2
Москва,35,41,3,97.4,95000000.0,-1,Вторичка,-1,-1,-1,69 м²,"7,3 м²",-1,Ленинградский проспект,37/3,Прайм Парк
Москва,2,21,3,157.8,165216600.0,2023,Новостройка,-1,-1,Монолитный,-1,"46,2 м²",3 м, Костикова,4к1,Lucky
Москва,7,14,3,206.0,289997099.0,-1,Вторичка,-1,Подземная,-1,-1,-1,"3,2 м",Малый Новопесковский переулок,8,Дом на Смоленской набережной
Москва,5,43,3,84.79,37441144.0,2025,Новостройка,-1,Подземная,Монолитный,"35,7 м²",-1,3 м,2-я Хуторская ,34,SYMPHONY 34
Москва,4,8,3,70.0,66216004.0,1941,Вторичка,1 балкон,-1,-1,-1,8 м²,-1,Смоленский бульвар,22/14,0
Москва,8,59,3,56.1,Договорённость,2028,Новостройка,-1,-1,Монолитно-кирпичный,"36,1 м²",-1,"2,85 м",0,0,Веер ЖК
Москва,13,21,3,130.0,155000000.0,-1,Вторичка,-1,-1,-1,-1,20 м²,-1, Костикова,4к4,Lucky
Москва,8,9,1,57.6,117936000,2023,Новостройка / Апартаменты,-1,Подземная,Монолитный,-1,-1,-1,1-я Тверская-Ямская ,2,Vesper Tverskaya
Москва,9,40,1,41.5,32000000,-1,Вторичка,-1,-1,-1,"23,4 м²","4,9 м²",-1,Ленинградский проспект,37/4,Прайм Парк
Москва,11,12,1,33.5,8000000,1972,Вторичка,1 балкон,Наземная,-1,17 м²,7 м²,"2,5 м",3-й Дорожный проезд,6К1,0
Москва,2,27,1,45.7,21798900,2026,Новостройка,-1,Подземная,Монолитно-кирпичный,"26,8 м²","7,8 м²","3,25 м", Фридриха Энгельса,56С9,Дом 56
Москва,13,41,1,41.5,31000000,-1,Вторичка,-1,-1,-1,"23,4 м²","4,9 м²",-1,Ленинградский проспект,37/6,Прайм Парк
Москва,10,10,1,38.5,11280000,1994,Вторичка,1 лоджия,-1,-1,"20,7 м²","8,4 м²",-1,Жулебинский бульвар,6/11,0
Москва,5,21,1,65.9,82172522,2023,Новостройка,-1,-1,Монолитный,"18,8 м²","24,9 м²",3 м, Костикова,4к1,Lucky
Москва,3,20,1,59.0,61800000,2023,Новостройка,-1,Подземная,-1,39 м²,15 м²,3 м, Костикова,4к6,Lucky
Москва,9,14,1,38.5,7000000,1993,Вторичка,1 балкон,Наземная,-1,18 м²,8 м²,"2,64 м",Зеленоград,к1524,0
Москва,3,15,1,54.0,14500000,2016,Вторичка,1 лоджия,Подземная,-1,30 м²,12 м²,"2,8 м", Татьянин Парк,14к2,Татьянин Парк
Москва,6,13,1,85.04,130383328,2025,Новостройка,-1,Подземная,Монолитно-кирпичный,"45,8 м²","15,8 м²","3,6 м",Садовая-Сухаревская ,14,Клубный дом Forum
Москва,3,9,1,33.0,9100000,1978,Вторичка,-1,-1,-1,18 м²,6 м²,"2,7 м", Рокотова,7К2,0
Москва,8,16,1,37.8,18192215,2027,Новостройка,-1,-1,Монолитно-кирпичный,"32,8 м²",-1,"3,06 м",Жилой комплекс Преображенская площадь,0,Преображенская площадь
Москва,22,22,1,14.3,8280000,1980,Вторичка / Апартаменты,-1,Наземная,-1,"6,3 м²",3 м²,"2,65 м",Ленинский проспект,158,0
Москва,11,29,1,30.1,12837650,2025,Новостройка / Апартаменты,-1,Подземная,Монолитный,"10,5 м²","11,5 м²","3,1 м", Наметкина,вл10,Nametkin Tower
Москва,12,25,1,47.6,23797810,2025,Новостройка,-1,Подземная,Монолитный,"28,2 м²","5,5 м²","3,6 м",Старый Петровско-Разумовский проезд,1/23С5,Петровский парк II
Москва,2,16,1,37.5,20328519,2025,Новостройка,"1 лоджия, 1 балкон",Подземная,Монолитно-кирпичный,"13,5 м²","10,7 м²","3,1 м", Зорге,25С2,Дом на Зорге
Москва,7,40,1,43.4,20800000,2023,Вторичка,-1,-1,-1,"15,2 м²","19,4 м²",-1,бульвар Братьев Весниных,1,ЗИЛАРТ
Москва,20,30,1,23.72,6698113,2027,Новостройка,-1,Открытая,Монолитно-кирпичный,"10,3 м²","5,5 м²","3,15 м",0,к2,Квартал Герцена ЖК
Москва,2,7,1,43.14,7204380,2024,Новостройка,-1,-1,-1,-1,-1,-1,0,к6,Эдельвейс ЖК
Москва,3,49,1,39.37,19037954,2025,Новостройка,-1,Подземная,Монолитный,"12,8 м²",-1,3 м,0,0,Симфония 34 ЖК
Москва,5,5,3,183.1,174494300.0,2017,Новостройка / Апартаменты,-1,Подземная,"Монолитно-кирпичный, монолитный, кирпичный","70,9 м²","43,8 м²","3,2 м",Поварская ,8/1к1,De Luxe квартал апартаментов Театральный Дом
Москва,22,31,3,83.0,52000000.0,2022,Вторичка,-1,-1,-1,-1,-1,"3,1 м", Лобачевского,120к1,Крылья
Москва,2,14,3,142.1,309370000.0,2024,Новостройка,2 балкона,Подземная,Монолитный,"46,6 м²","44,5 м²","3,35 м",0,0,Лаврушинский ЖК
Москва,5,17,3,105.0,130000000.0,2017,Вторичка,-1,Подземная,-1,-1,-1,"3,2 м", Сергея Макеева,9к2,RedSide
Москва,9,30,3,72.3,28208929.0,2027,Новостройка,-1,-1,Монолитный,"52,6 м²",-1,"2,92 м",48-й кв-л,0,Кутузовский Квартал ЖК
Москва,5,21,3,117.0,114000000.0,2022,Вторичка,3 балкона,Подземная,-1,-1,-1,3 м,2-я Звенигородская ,16,Lucky
Москва,5,49,3,79.14,32051700.0,2027,Новостройка,-1,-1,Монолитно-кирпичный,"36,7 м²",-1,"3,12 м",0,0,Тэйт ЖК
Москва,1,6,3,78.8,39990000.0,1932,Вторичка,-1,Наземная,-1,60 м²,10 м²,3 м,Большой Сергиевский переулок,9,0
Москва,14,24,3,88.0,30500000.0,2004,Вторичка,2 лоджии,Наземная,-1,-1,11 м²,-1,Фестивальная ,17К1,0
Москва,3,39,3,70.5,47630082.0,2027,Новостройка,-1,Подземная,Монолитный,-1,-1,"3,1 м",0,0,Хай Лайф ЖК
Москва,22,53,3,130.0,100000000.0,2012,Вторичка,-1,-1,-1,-1,-1,5 м,Мосфильмовская ,8,Дом на Мосфильмовской
Москва,4,27,3,88.68,59872000.0,2027,Новостройка,2 балкона,Подземная,-1,"52,2 м²","22,4 м²","3,1 м",Крылатская ,23,Дом Горизонтов
Москва,3,10,3,173.6,165000000.0,2009,Вторичка,-1,Подземная,-1,-1,15 м²,3 м,Большая Грузинская ,69,Четыре Ветра
Москва,14,17,3,169.5,200000000.0,2003,Вторичка,-1,Подземная,-1,-1,20 м²,3 м,4-я Тверская-Ямская ,22к2,0
Москва,22,23,3,152.0,82000000.0,2004,Вторичка,-1,Открытая,-1,112 м²,25 м²,3 м,Иваньковское шоссе,5,0
Москва,15,30,3,105.9,37890000.0,2023,Вторичка,-1,Подземная,-1,"51,2 м²","28,4 м²","3,3 м", Петра Алексеева,14,КутузовGRAD II
Москва,19,28,3,85.0,30500000.0,-1,Вторичка,1 лоджия,-1,-1,50 м²,15 м²,-1,проезд Невельского,1к1,Символ
Москва,37,85,3,187.5,150562821.0,2015,Новостройка / Апартаменты,-1,-1,Монолитный,"139,1 м²",-1,-1,1-й Красногвардейский проезд,21с2,МФК ОКО
Москва,2,7,3,146.6,147000000.0,2016,Новостройка / Апартаменты,-1,-1,-1,-1,-1,"3,25 м",0,0,Балчуг Резиденс ЖК
Москва,4,7,3,131.4,115290339.0,-1,Вторичка,-1,Наземная,-1,"101,4 м²",25 м²,-1,Никитский бульвар,12,0
Москва,12,35,3,95.7,38500000.0,-1,Вторичка,-1,-1,-1,"57,3 м²",19 м²,-1, Годовикова,11к5,iLove
Москва,2,9,3,74.4,54900000.0,-1,Вторичка,1 балкон,Наземная,-1,55 м²,10 м²,-1,Большая Бронная ,5,0
Москва,3,10,3,135.0,134000000.0,-1,Вторичка,2 балкона,Подземная,-1,93 м²,11 м²,-1,Страстной бульвар,10к1,0
Москва,1,5,3,55.4,15500000.0,1959,Вторичка,-1,Открытая,-1,"34,3 м²","5,6 м²",-1,Большая Остроумовская ,17,0
Москва,15,26,3,54.2,24300000.0,2023,Вторичка,-1,-1,-1,"37,1 м²","4,1 м²","2,87 м",Нагатинская набережная,10А,Level Нагатинская
Москва,24,24,3,58.0,37490000.0,-1,Вторичка,-1,-1,-1,"27,6 м²",16 м²,-1,Шелепихинская набережная,34к3,Сердце Столицы
Москва,4,8,3,58.0,50000000.0,1960,Вторичка,1 балкон,Наземная,-1,32 м²,15 м²,"2,5 м",Садовая-Сухаревская ,13/15,0
Москва,28,32,3,110.0,61990000.0,2006,Вторичка,-1,Подземная,-1,"54,1 м²",10 м²,"2,95 м",Ходынский бульвар,5к3,Гранд-парк
Москва,17,34,3,86.7,86700000.0,2024,Вторичка / Апартаменты,-1,Подземная,-1,53 м²,10 м²,"2,9 м",Поклонная ,9,Поклонная 9
Москва,34,57,3,177.0,150000000.0,2006,Вторичка,-1,Подземная,-1,138 м²,21 м²,"3,1 м",Чапаевский переулок,3,Триумф-Палас
Москва,2,9,3,80.8,10180800.0,2024,Новостройка,-1,-1,-1,-1,-1,-1,0,к4А,Эдельвейс ЖК
Москва,2,15,3,59.3,11539780.0,2025,Новостройка / Апартаменты,-1,Наземная,Монолитно-кирпичный,"40,5 м²","5,1 м²","2,82 м",0,к2,Движение. Говорово ЖК
Москва,8,19,3,67.9,12225117.0,2025,Новостройка,"1 лоджия, 1 балкон",-1,-1,"42,6 м²","18,3 м²","2,8 м",0,9.1,Бунинские Кварталы ЖК
Москва,13,14,3,54.3,12634000.0,2026,Новостройка,"1 лоджия, 1 балкон",-1,Монолитный,34 м²,"3,8 м²","2,85 м",0,0,"Новые Ватутинки, мкр. Заречный"
Москва,6,9,3,63.1,13420120.0,2024,Новостройка,"1 лоджия, 1 балкон",-1,-1,"24,3 м²","19,2 м²","2,99 м",0,к2.3,Бунинские Кварталы ЖК
Москва,2,23,3,79.1,14144694.0,2026,Новостройка,-1,Наземная,Монолитно-кирпичный,"40,4 м²","16,2 м²","2,7 м",0,0,Детали ЖК
Москва,2,8,3,67.6,14845433.0,2025,Новостройка,"1 лоджия, 1 балкон",-1,-1,"40,9 м²","21,7 м²","3,1 м",0,6.1,Бунинские Кварталы ЖК
Москва,2,9,3,78.86,15172403.0,2025,Новостройка,1 балкон,Открытая,Монолитно-кирпичный,"41,4 м²","12,5 м²","2,8 м",0,15,Алхимово ЖК
Москва,11,11,3,77.5,16193792.0,2025,Новостройка,1 лоджия,-1,-1,"38,7 м²","15,4 м²","2,8 м",0,0,Дзен-кварталы ЖК
Москва,5,9,2,104.2,150958800,2023,Новостройка / Апартаменты,-1,Подземная,Монолитный,-1,28 м²,-1,1-я Тверская-Ямская ,2,Vesper Tverskaya
Москва,5,6,2,43.0,26900000,2016,Вторичка / Апартаменты,-1,Наземная,-1,-1,-1,-1, 3-я Ямского Поля,9,Art Residence
Москва,12,17,2,71.0,17900000,2022,Вторичка,-1,Многоуровневая,-1,40 м²,17 м²,3 м, Никитина,11к4,0
Москва,2,10,2,59.8,71281684,2024,Новостройка,-1,-1,Монолитный,-1,-1,"4,6 м",0,3к8,Виктори Парк Резиденсез ЖК
Москва,9,12,2,88.0,59350000,-1,Вторичка / Апартаменты,-1,-1,-1,-1,10 м²,-1,2-я Брестская ,6,Резиденция Тверская
Москва,13,22,2,60.6,21399999,2010,Вторичка,1 балкон,-1,-1,-1,"10,4 м²",-1,Фестивальная ,41к3,0
Москва,7,15,2,46.5,23900000,2017,Вторичка / Апартаменты,-1,Подземная,-1,30 м²,10 м²,3 м,Ходынский бульвар,20А,Лайнер
Москва,3,36,2,68.6,48137992,2027,Новостройка,-1,Подземная,Монолитный,-1,-1,"3,08 м",Ленинградский проспект,вл8,Slava
Москва,19,25,2,57.7,24914860,2025,Новостройка,1 лоджия,Подземная,Монолитный,"28,1 м²","13,6 м²","3,1 м",Независимость кв-л,0,Символ ЖК
Москва,16,34,2,42.4,22349040,2025,Новостройка,-1,-1,Монолитный,"24,8 м²",-1,3 м,0,0,Эвер ЖК
Москва,2,5,2,60.0,38500000,1926,Вторичка,-1,-1,-1,35 м²,6 м²,-1,Комсомольский проспект,14/1К3,0
Москва,9,68,2,92.0,110000000,2020,Вторичка / Апартаменты,-1,Подземная,-1,54 м²,-1,-1,1-й Красногвардейский проезд,22с1,NEVA TOWERS
Москва,5,9,2,64.0,46000000,1943,Вторичка,1 балкон,-1,-1,"34,8 м²",10 м²,-1,Фрунзенская набережная,44С1,0
Москва,19,41,2,71.0,46500000,-1,Вторичка,-1,-1,-1,36 м²,16 м²,-1,Шелепихинская набережная,34к5,Сердце Столицы
Москва,3,9,2,45.0,15250000,1968,Вторичка,1 балкон,Наземная,-1,-1,6 м²,"2,64 м", Героев Панфиловцев,1К1,0
Москва,4,26,2,55.5,19288526,2025,Новостройка,-1,Подземная,Монолитный,"25,9 м²","21,8 м²","2,85 м",0,0,Семеновский Парк 2 ЖК
