location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,object_type,have_loggia,parking_type,house_material_type,living_meters,kitchen_meters,ceiling_height,street,house_number,residential_complex,price_per_meter
Яхрома,5,5,2,44.2,4190000.0,Напишите автору,Вторичка,-1,-1,-1,"31,2 м²","7,1 м²",-1, Ленина,32.0,0,94796
Яхрома,2,5,2,54.8,4400000.0,2022,Вторичка,1 лоджия,Наземная,-1,"32,5 м²",9 м²,"2,5 м",0,0,0,80292
Яхрома,4,5,2,44.0,5100000.0,-1,Вторичка,-1,-1,-1,"16,6 м²",7 м²,-1,Большевистская ,22.0,0,115909
Яхрома,1,3,-1,65.6,3300000.0,1929,Вторичка,-1,Наземная,-1,"50,8 м²","8,2 м²","2,7 м", Бусалова,14.0,0,50305
Яхрома,1,2,2,41.0,4400000.0,1969,Вторичка,-1,Наземная,-1,25 м²,6 м²,-1,Шлюзовой переулок,3.0,0,107317
Яхрома,2,2,2,37.0,3950000.0,1959,Вторичка,-1,Наземная,-1,22 м²,5 м²,"2,7 м", Бусалова,0,0,106757
Яхрома,1,5,2,44.0,4700000.0,-1,Вторичка,-1,-1,-1,-1,-1,-1, Ленина,35.0,0,106818
Яхрома,8,9,2,45.0,4400000.0,1977,Вторичка,1 балкон,Наземная,-1,34 м²,"6,5 м²","2,65 м", Космонавтов,31.0,0,97778
Яхрома,1,4,1,41.4,3600000.0,-1,Вторичка,1 балкон,-1,-1,"17,7 м²","12,8 м²",-1,Рогачевская ,35.0,0,86957
Яхрома,9,9,2,44.0,4400000.0,1978,Вторичка,1 лоджия,-1,-1,-1,6 м²,-1,Инженерная ,27.0,0,100000
Яхрома,3,5,2,475.0,4799000.0,1977,Вторичка,1 балкон,Наземная,-1,33 м²,7 м²,-1,0,0,0,10103
Воскресенск,4,5,1,35.2,3590400.0,2024,Новостройка,-1,-1,-1,-1,-1,3 м, Ломоносова,113,Дом+,102000
Воскресенск,2,5,1,31.0,3300000.0,-1,Вторичка,1 балкон,Наземная,-1,18 м²,6 м²,"2,6 м", Победы,15,0,106452
Воскресенск,1,5,1,32.3,2000000.0,-1,Вторичка,-1,-1,-1,20 м²,7 м²,-1, Калинина,57,0,61920
Воскресенск,4,5,1,34.3,4116000.0,2024,Новостройка,-1,-1,-1,-1,-1,3 м, Ломоносова,113,Дом+,120000
Воскресенск,5,5,1,32.0,2600000.0,-1,Вторичка,1 балкон,Наземная,-1,18 м²,6 м²,"2,6 м", Новлянская,8Б,0,81250
Воскресенск,1,5,1,30.4,2300000.0,1972,Вторичка,-1,Наземная,-1,18 м²,6 м²,-1, Спартака,22,0,75658
Воскресенск,4,5,1,47.2,4720000.0,2024,Новостройка,-1,-1,-1,-1,-1,3 м, Ломоносова,113,Дом+,100000
Воскресенск,1,3,1,38.0,3100000.0,-1,Вторичка,1 балкон,Наземная,-1,18 м²,8 м²,"2,6 м", 8 Марта,12,0,81579
Воскресенск,6,14,1,39.0,4100000.0,-1,Вторичка,2 лоджии,Наземная,-1,20 м²,10 м²,"2,7 м", Ломоносова,119к1,Москворецкий,105128
Воскресенск,1,5,1,43.4,4383400.0,2024,Новостройка,-1,-1,-1,-1,-1,3 м, Ломоносова,113,Дом+,101000
Воскресенск,2,5,1,32.0,3300000.0,1968,Вторичка,1 балкон,Наземная,-1,18 м²,6 м²,"2,48 м", Комсомольская,11,0,103125
Воскресенск,3,5,1,30.5,3400000.0,-1,Вторичка,-1,-1,-1,18 м²,6 м²,-1, Менделеева,9А,0,111475
Воскресенск,3,5,1,16.6,1700000.0,-1,Вторичка,-1,-1,-1,"8,6 м²",3 м²,-1, Комсомольская,17,0,102410
Воскресенск,5,5,1,33.1,3600000.0,-1,Вторичка,1 балкон,-1,-1,18 м²,8 м²,-1, Спартака,20,0,108761
Талдом,2,5,1,29.0,3250000.0,-1,Вторичка,1 балкон,-1,-1,15 м²,6 м²,-1,0,0,0,112069
Талдом,3,3,1,38.0,3420000.0,-1,Вторичка,-1,Наземная,-1,20 м²,10 м²,-1, Новая,0,0,90000
Талдом,1,2,1,23.0,830000.0,-1,Вторичка,-1,-1,-1,-1,6 м²,-1, Кустарная,0,0,36087
